Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
15.10.2023 05:50;11.0;745.4;762.0;67;Ветер, дующий с северо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;5.0;;;
15.10.2023 05:20;12.0;744.7;761.2;63;Ветер, дующий с северо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;5.0;;;
15.10.2023 04:50;12.0;745.5;762.0;67;Ветер, дующий с северо-северо-запада;6;;;;Незначительная (10-30%) 1020 м;10.0 и более;6.0;;;
15.10.2023 04:20;13.0;745.5;762.0;67;Ветер, дующий с северо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;7.0;;;
15.10.2023 03:50;13.0;744.8;761.2;72;Ветер, дующий с северо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;8.0;;;
15.10.2023 03:20;13.0;744.8;761.2;77;Ветер, дующий с северо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;9.0;;;
15.10.2023 02:50;13.0;744.8;761.2;77;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 720 м, рассеянная (40-50%) 900 м;10.0 и более;9.0;;;
15.10.2023 02:20;12.0;744.7;761.2;82;Ветер, дующий с северо-северо-запада;3;;;;Незначительная (10-30%) 660 м;10.0 и более;9.0;;;
15.10.2023 01:50;13.0;744.8;761.2;77;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 510 м, разорванная (60-90%) 720 м;10.0 и более;9.0;;;
15.10.2023 01:20;14.0;744.8;761.2;82;Ветер, дующий с северо-северо-запада;6;;;;Незначительная (10-30%) 510 м, рассеянная (40-50%) 660 м;10.0 и более;11.0;;;
15.10.2023 00:50;14.0;744.1;760.5;82;Ветер, дующий с северо-запада;7;;;;Незначительная (10-30%) 660 м;10.0 и более;11.0;;;
15.10.2023 00:20;14.0;744.1;760.5;82;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 1200 м, рассеянная (40-50%) 1320 м;10.0 и более;11.0;;;
14.10.2023 23:50;14.0;744.1;760.5;82;Ветер, дующий с западо-северо-запада;7;;Слабый(ая)(ые) ливень (ливни), дождь;Ливень (ливни), дождь;Незначительная (10-30%) 1080 м, рассеянная (40-50%) 1260 м, разорванная (60-90%) 1320 м;10.0 и более;11.0;;;
14.10.2023 23:20;15.0;744.2;760.5;82;Ветер, дующий с северо-запада;9;;Ливень (ливни), дождь;;Незначительная (10-30%) 450 м, рассеянная (40-50%) 840 м, разорванная (60-90%) 1200 м;10.0 и более;12.0;;;
14.10.2023 22:50;15.0;743.4;759.7;88;Ветер, дующий с северо-северо-запада;4;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 480 м, разорванная (60-90%) 900 м;10.0 и более;13.0;;;
14.10.2023 22:20;15.0;743.4;759.7;82;Ветер, дующий с севера;3;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 960 м, рассеянная (40-50%) 1080 м;10.0 и более;12.0;;;
14.10.2023 21:50;16.0;743.5;759.7;77;Ветер, дующий с севера;5;;;;Незначительная (10-30%) 1140 м, рассеянная (40-50%) 1200 м;10.0 и более;12.0;;;
14.10.2023 21:20;17.0;742.8;759.0;73;Ветер, дующий с севера;6;;;;Незначительная (10-30%) 600 м;10.0 и более;12.0;;;
14.10.2023 20:50;19.0;742.9;759.0;64;Ветер, дующий с севера;7;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1440 м;10.0 и более;12.0;;;
14.10.2023 20:20;20.0;743.0;759.0;60;Ветер, дующий с северо-запада;7;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1260 м, рассеянная (40-50%) 1380 м;10.0 и более;12.0;;;
14.10.2023 19:50;22.0;742.3;758.2;50;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 19:20;22.0;742.3;758.2;50;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 18:50;21.0;742.3;758.2;57;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 780 м;10.0 и более;12.0;;;
14.10.2023 18:20;23.0;742.4;758.2;44;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 17:50;23.0;742.4;758.2;44;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 17:20;23.0;741.9;757.7;44;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 16:50;24.0;741.9;757.7;41;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 16:20;24.0;741.9;757.7;41;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 15:50;24.0;741.9;757.7;44;Ветер, дующий с западо-юго-запада;4;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 15:20;24.0;741.9;757.7;44;Ветер, дующий с северо-запада;6;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 14:50;24.0;741.9;757.7;44;Ветер, дующий с северо-запада;7;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 14:20;26.0;742.0;757.7;39;Ветер, дующий с северо-запада;8;;;;Нет существенной облачности;10.0 и более;11.0;;;
14.10.2023 13:50;26.0;742.0;757.7;37;Ветер, дующий с западо-северо-запада;10;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 13:20;26.0;742.0;757.7;37;Ветер, дующий с западо-северо-запада;11;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 12:50;26.0;742.0;757.7;37;Ветер, дующий с западо-северо-запада;10;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 12:20;26.0;742.5;758.2;37;Ветер, дующий с запада;10;;;;Нет существенной облачности;10.0 и более;10.0;;;
14.10.2023 11:50;23.0;742.4;758.2;53;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
14.10.2023 11:20;22.0;742.3;758.2;57;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
14.10.2023 10:50;21.0;743.0;759.0;64;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
14.10.2023 10:20;19.0;742.1;758.2;73;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
14.10.2023 09:50;17.0;742.8;759.0;77;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
14.10.2023 09:20;16.0;742.8;759.0;83;Ветер, дующий с юга;3;;;;Незначительная (10-30%) 30 м;10.0 и более;13.0;;;
14.10.2023 08:50;14.0;742.7;759.0;94;Ветер, дующий с юга;4;;Дымка;;Незначительная (10-30%) 30 м, рассеянная (40-50%) 90 м;6.0;13.0;;;
14.10.2023 08:20;14.0;742.7;759.0;88;Ветер, дующий с юга;3;;Клочьями туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , рассеянная (40-50%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , рассеянная (40-50%) 30 м</span>;3.7;12.0;
14.10.2023 07:50;14.0;741.9;758.2;88;Переменное направление;2;;Клочьями туман;;Незначительная (10-30%) 30 м;4.8;12.0;;;
14.10.2023 07:20;13.0;741.8;758.2;94;Переменное направление;1;;Клочьями туман;;Незначительная (10-30%) 150 м;4.6;12.0;;;
14.10.2023 06:50;12.0;741.8;758.2;94;Ветер, дующий с юга;2;;Клочьями туман;;Незначительная (10-30%) 150 м;3.9;11.0;;;
14.10.2023 06:20;11.0;741.7;758.2;94;Ветер, дующий с юго-юго-востока;3;;Дымка;;Незначительная (10-30%) 150 м;4.7;10.0;;;
14.10.2023 05:50;12.0;741.8;758.2;94;Ветер, дующий с юга;4;;;;Незначительная (10-30%) 150 м;6.0;11.0;;;
14.10.2023 05:20;12.0;741.3;757.7;94;Ветер, дующий с юга;4;;;;Незначительная (10-30%) 150 м;6.0;11.0;;;
14.10.2023 04:50;12.0;741.8;758.2;94;Переменное направление;1;;Дымка;;Незначительная (10-30%) 150 м;5.0;11.0;;;
14.10.2023 04:20;12.0;741.8;758.2;100;Ветер, дующий с востоко-юго-востока;2;;Клочьями туман;;Незначительная (10-30%) 30 м;5.0;12.0;;;
14.10.2023 03:50;13.0;741.8;758.2;94;Переменное направление;1;;Клочьями туман;;Нет существенной облачности;6.0;12.0;;;
14.10.2023 03:20;13.0;741.3;757.7;88;Ветер, дующий с юга;2;;Клочьями туман;;Нет существенной облачности;7.0;11.0;;;
14.10.2023 02:50;14.0;741.4;757.7;88;Ветер, дующий с юго-юго-востока;2;;Поземный туман, дымка;;Нет существенной облачности;8.0;12.0;;;
14.10.2023 02:20;14.0;741.9;758.2;94;Ветер, дующий с юга;3;;Дымка;;Нет существенной облачности;9.0;13.0;;;
14.10.2023 01:50;15.0;741.9;758.2;88;Ветер, дующий с юго-востока;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
14.10.2023 01:20;16.0;742.0;758.2;88;Ветер, дующий с юго-востока;6;;;;Нет существенной облачности;10.0 и более;14.0;;;
14.10.2023 00:50;16.0;742.0;758.2;88;Ветер, дующий с юго-востока;6;;;;Нет существенной облачности;10.0 и более;14.0;;;
14.10.2023 00:20;16.0;742.8;759.0;88;Ветер, дующий с юго-востока;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 23:50;17.0;742.8;759.0;83;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 23:20;17.0;742.8;759.0;83;Ветер, дующий с юго-юго-востока;7;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 22:50;17.0;742.8;759.0;83;Ветер, дующий с юго-востока;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 22:20;18.0;743.6;759.7;78;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 21:50;17.0;743.5;759.7;83;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 21:20;18.0;743.6;759.7;78;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 20:50;18.0;744.3;760.5;78;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 20:20;18.0;744.3;760.5;73;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 19:50;19.0;744.4;760.5;68;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 19:20;19.0;744.4;760.5;68;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 18:50;21.0;745.2;761.2;60;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 18:20;22.0;745.2;761.2;53;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 17:50;22.0;745.2;761.2;50;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 17:20;23.0;745.3;761.2;47;Ветер, дующий с юго-востока;6;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 16:50;24.0;745.4;761.2;47;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 16:20;24.0;746.1;762.0;47;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 15:50;25.0;746.2;762.0;44;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 15:20;26.0;746.2;762.0;42;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 14:50;26.0;746.2;762.0;42;Ветер, дующий с юго-востока;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 14:20;26.0;747.0;762.8;42;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 13:50;26.0;747.0;762.8;42;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 13:20;26.0;747.0;762.8;48;Ветер, дующий с юго-востока;4;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 12:50;26.0;747.7;763.5;51;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;15.0;;;
13.10.2023 12:20;26.0;747.7;763.5;39;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 11:50;26.0;747.7;763.5;39;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 11:20;25.0;747.7;763.5;42;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 10:50;25.0;748.4;764.3;42;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 10:20;24.0;748.4;764.3;44;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
13.10.2023 09:50;23.0;748.3;764.3;50;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
13.10.2023 09:20;22.0;748.3;764.3;61;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 08:50;20.0;748.2;764.3;69;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 08:20;19.0;748.1;764.3;73;Ветер, дующий с юго-юго-запада;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 07:50;18.0;748.1;764.3;73;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 07:20;17.0;748.0;764.3;77;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 06:50;16.0;747.2;763.5;88;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 06:20;16.0;747.2;763.5;88;Ветер, дующий с юго-юго-востока;2;;;;Незначительная (10-30%) 1020 м;10.0 и более;14.0;;;
13.10.2023 05:50;16.0;747.2;763.5;88;Переменное направление;1;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 780 м;10.0 и более;14.0;;;
13.10.2023 05:20;16.0;747.2;763.5;88;Переменное направление;1;;Слабый(ая)(ые) ливень (ливни), дождь;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 04:50;17.0;747.2;763.5;83;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 04:20;18.0;747.3;763.5;73;Ветер, дующий с юго-запада;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
13.10.2023 03:50;17.0;747.2;763.5;83;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 03:20;17.0;746.5;762.8;83;Ветер, дующий с юга;5;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
13.10.2023 02:50;17.0;747.2;763.5;83;Ветер, дующий с юга;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 02:20;18.0;747.3;763.5;78;Ветер, дующий с юго-юго-востока;3;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1380 м;10.0 и более;14.0;;;
13.10.2023 01:50;18.0;747.3;763.5;78;Переменное направление;2;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1020 м;10.0 и более;14.0;;;
13.10.2023 01:20;16.0;747.2;763.5;88;Переменное направление;1;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
13.10.2023 00:50;16.0;747.2;763.5;88;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
13.10.2023 00:20;17.0;747.2;763.5;83;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 23:50;17.0;747.2;763.5;83;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 23:20;18.0;747.3;763.5;73;Ветер, дующий с юго-юго-запада;1;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 22:50;20.0;747.4;763.5;64;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 22:20;19.0;747.3;763.5;73;Ветер, дующий с западо-юго-запада;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 21:50;17.0;747.2;763.5;83;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 21:20;17.0;747.2;763.5;77;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 20:50;20.0;747.4;763.5;69;Ветер, дующий с юго-запада;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 20:20;20.0;747.4;763.5;64;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 19:50;20.0;747.4;763.5;60;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
12.10.2023 19:20;21.0;747.4;763.5;53;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
12.10.2023 18:50;21.0;747.4;763.5;53;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
12.10.2023 18:20;21.0;747.4;763.5;53;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
12.10.2023 17:50;22.0;747.5;763.5;47;Ветер, дующий с западо-северо-запада;2;;;;Нет существенной облачности;10.0 и более;10.0;;;
12.10.2023 17:20;23.0;746.9;762.8;44;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;10.0;;;
12.10.2023 16:50;24.0;746.9;762.8;41;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;10.0;;;
12.10.2023 16:20;24.0;746.9;762.8;39;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;9.0;;;
12.10.2023 15:50;25.0;747.0;762.8;36;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;9.0;;;
12.10.2023 15:20;26.0;747.0;762.8;32;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;8.0;;;
12.10.2023 14:50;27.0;747.1;762.8;30;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;8.0;;;
12.10.2023 14:20;24.0;746.9;762.8;50;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 13:50;24.0;746.9;762.8;50;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 13:20;24.0;746.9;762.8;50;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 12:50;23.0;746.9;762.8;57;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 12:20;23.0;747.6;763.5;57;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 11:50;21.0;747.4;763.5;64;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
12.10.2023 11:20;20.0;747.4;763.5;64;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
12.10.2023 10:50;18.0;747.3;763.5;78;Ветер, дующий с юго-востока;4;;;;Незначительная (10-30%) 60 м;10.0 и более;14.0;;;
12.10.2023 10:20;17.0;748.0;764.3;88;Ветер, дующий с востоко-юго-востока;2;;;;Незначительная (10-30%) 60 м;10.0 и более;15.0;;;
12.10.2023 09:50;14.0;747.8;764.3;100;Ветер, дующий с юго-юго-востока;2;;Клочьями туман;;Незначительная (10-30%) 30 м, разорванная (60-90%) 60 м;4.0;14.0;;;
12.10.2023 09:20;14.0;747.8;764.3;94;Ветер, дующий с юго-юго-запада;2;;Клочьями туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;2.0;13.0;
12.10.2023 08:50;13.0;747.0;763.5;100;Ветер, дующий с юго-юго-востока;4;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.5;13.0;
12.10.2023 08:20;13.0;747.0;763.5;94;Ветер, дующий с юго-юго-востока;3;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.4;12.0;
12.10.2023 07:50;13.0;747.0;763.5;94;Ветер, дующий с юго-востока;3;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.4;12.0;
12.10.2023 07:20;12.0;746.9;763.5;100;Ветер, дующий с востоко-юго-востока;3;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.3;12.0;
12.10.2023 06:50;12.0;746.9;763.5;100;Ветер, дующий с юго-юго-востока;3;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.3;12.0;
12.10.2023 06:20;12.0;746.9;763.5;100;Ветер, дующий с юго-юго-востока;4;;Туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 30 м</span>;0.4;12.0;
12.10.2023 05:50;10.0;746.1;762.8;100;Ветер, дующий с юго-юго-востока;5;;Клочьями туман;;"<span class=h_0"" style=""display: inline";">Рассеянная (40-50%) менее 30 м</span><span class=h_1"" style=""display: none";>Рассеянная (40-50%) менее 98,4 футов</span>;2.0;10.0;
12.10.2023 05:20;10.0;746.1;762.8;100;Ветер, дующий с юга;2;;Клочьями туман;;Незначительная (10-30%) 60 м;5.0;10.0;;;
12.10.2023 04:50;11.0;746.2;762.8;94;Ветер, дующий с юга;2;;Поземный туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов</span>;7.0;10.0;
12.10.2023 04:20;11.0;746.2;762.8;94;Переменное направление;1;;Клочьями туман;;Нет существенной облачности;6.0;10.0;;;
12.10.2023 03:50;11.0;746.9;763.5;94;Переменное направление;1;;Клочьями туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов</span>;5.0;10.0;
12.10.2023 03:20;12.0;746.3;762.8;94;Ветер, дующий с юго-востока;2;;Поземный туман, дымка;;Незначительная (10-30%) 30 м;7.0;11.0;;;
12.10.2023 02:50;11.0;746.9;763.5;94;Ветер, дующий с юга;2;;Поземный туман;;Незначительная (10-30%) 30 м;10.0 и более;10.0;;;
12.10.2023 02:20;11.0;746.2;762.8;100;Ветер, дующий с юго-юго-востока;3;;;;Незначительная (10-30%) 30 м;10.0 и более;11.0;;;
12.10.2023 01:50;12.0;746.9;763.5;94;Ветер, дующий с юго-юго-востока;2;;Клочьями туман;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов</span>;10.0 и более;11.0;
12.10.2023 01:20;13.0;747.0;763.5;94;Ветер, дующий с юго-востока;2;;Клочьями туман;;Незначительная (10-30%) 30 м;10.0 и более;12.0;;;
12.10.2023 00:50;13.0;747.0;763.5;94;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
12.10.2023 00:20;12.0;746.9;763.5;100;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
11.10.2023 23:50;14.0;747.1;763.5;88;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
11.10.2023 23:20;13.0;747.0;763.5;94;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
11.10.2023 22:50;14.0;747.1;763.5;88;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
11.10.2023 22:20;14.0;747.8;764.3;94;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
11.10.2023 21:50;16.0;748.0;764.3;83;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
11.10.2023 21:20;16.0;748.0;764.3;83;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
11.10.2023 20:50;16.0;748.0;764.3;88;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
11.10.2023 20:20;16.0;748.0;764.3;83;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
11.10.2023 19:50;17.0;748.0;764.3;83;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
11.10.2023 19:20;17.0;748.0;764.3;77;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
11.10.2023 18:50;18.0;748.1;764.3;78;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
11.10.2023 18:20;19.0;748.1;764.3;78;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 17:50;19.0;748.1;764.3;78;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 17:20;20.0;748.2;764.3;73;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 16:50;21.0;748.2;764.3;69;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 16:20;22.0;748.3;764.3;65;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 15:50;22.0;748.3;764.3;65;Ветер, дующий с юго-востока;4;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 15:20;23.0;748.3;764.3;61;Ветер, дующий с юго-востока;4;;;;Нет существенной облачности;10.0 и более;15.0;;;
11.10.2023 14:50;24.0;748.4;764.3;54;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
